x,y,field
0.2594529328134203,-0.02794733401695621,MP
0.2859068633902639,-0.046212937946597414,FG
0.27341455720894037,-0.026998692698274793,FGA
0.18006530549703295,-0.1003674197736567,FG%
0.2094865058238761,-0.2668799727467085,3P
0.20607511207930482,-0.21443727875512264,3PA
0.1547701302049075,-0.2646422062438711,3P%
0.2155207560619086,0.09098677496431308,FT
0.21535058762227424,0.12006133767734517,FTA
0.1895050466796318,0.040917949491735314,FT%
0.11547897037995317,0.30142244176348043,ORB
0.21637820814335074,0.24559444258957755,DRB
0.21753109458615072,0.3054129999222233,TRB
0.1996712641885546,-0.02982832830019585,AST
0.11815053663566559,-0.036740513781456756,STL
0.08610584411784855,0.14627133488013128,BLK
0.1876251016562473,0.05230269247600695,TOV
0.14172731681163428,0.017946345191726193,PF
0.29979551251705616,-0.05200348091593789,PTS
0.06362801501060382,-0.021300198357181447,+/-
0.19797568994889644,-0.1502776603279223,TS%
0.18164209969033074,-0.17298753191622027,eFG%
0.02843472895054182,-0.26783426109532926,3PAr
0.062263536704522185,0.12231625823437375,FTr
0.030862670371915996,0.28976532256001936,ORB%
0.08151494382480741,0.3009551514216387,DRB%
0.08165369706710071,0.3834528731011571,TRB%
0.13037053063791462,-0.04193196399306792,AST%
0.0033478895644066314,-0.015840170835227933,STL%
0.015959205261535513,0.13758227561429043,BLK%
-0.005208439465774798,0.06002117115940828,TOV%
0.20023166335595383,0.012842729809780146,USG%
0.1676508015611609,-0.09931260238877469,ORtg
-0.0036647573444900804,-0.05549145576221254,DRtg
0.10073030849040426,-0.044081244622998283,BPM
